Titlu RO,Titlu EN,Tip RO,Tip EN,Categorie părinte RO,Categorie părinte EN,Descriere scurtă RO,Descriere scurtă EN,Descriere SEO RO,Descriere SEO EN,Meta title RO,Meta title EN,Meta description RO,Meta description EN
Escape rooms adventure,Adventure escape rooms,Subcategorie,Subcategory,Escape rooms,Escape rooms,"Camere de escape cu misiuni dinamice, explorare și provocări de echipă.","Dynamic escape room adventures with missions, exploration and team challenges.","Descoperă escape rooms adventure cu scenarii pline de acțiune, indicii, misiuni și provocări interactive. Sunt potrivite pentru prieteni, familie, adolescenți sau echipe care vor o experiență captivantă, bazată pe explorare, colaborare și adrenalină.","Discover adventure escape rooms with action-driven scenarios, clues, missions and interactive challenges. Ideal for friends, families, teenagers or teams looking for a captivating experience built around exploration, collaboration and adrenaline.",Escape rooms adventure | Bilete și experiențe,Adventure escape rooms | Tickets & experiences,"Descoperă escape rooms adventure cu scenarii pline de acțiune, indicii, misiuni și provocări interactive. Sunt potrivite pentru prieteni, familie,...","Discover adventure escape rooms with action-driven scenarios, clues, missions and interactive challenges. Ideal for friends, families, teenagers or..."
Escape rooms fantasy / sci-fi,Fantasy / sci-fi escape rooms,Subcategorie,Subcategory,Escape rooms,Escape rooms,"Camere tematice inspirate de lumi fantastice, tehnologie și povești SF.","Themed rooms inspired by fantasy worlds, technology and sci-fi stories.","Alege escape rooms fantasy și sci-fi pentru aventuri în lumi imaginare, laboratoare futuriste, universuri fantastice sau misiuni tehnologice. Sunt experiențe ideale pentru grupuri care caută decoruri imersive, povești spectaculoase și provocări creative.","Choose fantasy and sci-fi escape rooms for adventures in imaginary worlds, futuristic labs, magical universes or tech-driven missions. Ideal for groups looking for immersive settings, spectacular stories and creative challenges.",Escape rooms fantasy / sci-fi | Bilete și experiențe,Fantasy / sci-fi escape rooms | Tickets & experiences,"Alege escape rooms fantasy și sci-fi pentru aventuri în lumi imaginare, laboratoare futuriste, universuri fantastice sau misiuni tehnologice. Sunt...","Choose fantasy and sci-fi escape rooms for adventures in imaginary worlds, futuristic labs, magical universes or tech-driven missions. Ideal for groups..."
Escape rooms pentru adolescenți,Escape rooms for teenagers,Subcategorie,Subcategory,Escape rooms,Escape rooms,"Escape rooms adaptate adolescenților, cu mister, logică și colaborare.","Escape rooms for teenagers, with mystery, logic and collaboration.","Descoperă escape rooms pentru adolescenți, cu provocări potrivite vârstei, scenarii captivante și enigme care stimulează comunicarea și gândirea logică. Sunt ideale pentru grupuri de prieteni, excursii, aniversări sau activități de școală.","Discover escape rooms for teenagers, with age-appropriate challenges, captivating scenarios and puzzles that encourage communication and logical thinking. Ideal for groups of friends, school outings, birthdays or class activities.",Escape rooms pentru adolescenți | Bilete și experiențe,Escape rooms for teenagers | Tickets & experiences,"Descoperă escape rooms pentru adolescenți, cu provocări potrivite vârstei, scenarii captivante și enigme care stimulează comunicarea și gândirea logică....","Discover escape rooms for teenagers, with age-appropriate challenges, captivating scenarios and puzzles that encourage communication and logical..."
Activități pentru familie,Family activities,Subcategorie,Subcategory,Familie & copii,Family & kids,"Experiențe potrivite pentru părinți, copii și timp petrecut împreună.","Experiences for parents, children and quality time together.","Găsește activități pentru familie: muzee, parcuri, ateliere, natură, spectacole, ferme și experiențe interactive. Alege idei de weekend sau vacanță care aduc împreună copiii și adulții într-un mod distractiv, sigur și memorabil.","Find family activities including museums, parks, workshops, nature, shows, farms and interactive experiences. Choose weekend or holiday ideas that bring children and adults together in a fun, safe and memorable way.",Activități pentru familie | Bilete și experiențe,Family activities | Tickets & experiences,"Găsește activități pentru familie: muzee, parcuri, ateliere, natură, spectacole, ferme și experiențe interactive. Alege idei de weekend sau vacanță care...","Find family activities including museums, parks, workshops, nature, shows, farms and interactive experiences. Choose weekend or holiday ideas that bring..."
Activități pentru grădinițe,Activities for kindergartens,Subcategorie,Subcategory,Familie & copii,Family & kids,"Activități blânde, sigure și educative pentru preșcolari.","Gentle, safe and educational activities for preschool children.","Descoperă activități pentru grădinițe, create pentru copii mici: ateliere, vizite, natură, ferme educative, spectacole și experiențe senzoriale. Sunt potrivite pentru grupe organizate, ieșiri educative și învățare prin joacă.","Discover activities for kindergartens, designed for young children: workshops, visits, nature, educational farms, shows and sensory experiences. Suitable for organized groups, learning outings and play-based discovery.",Activități pentru grădinițe | Bilete și experiențe,Activities for kindergartens | Tickets & experiences,"Descoperă activități pentru grădinițe, create pentru copii mici: ateliere, vizite, natură, ferme educative, spectacole și experiențe senzoriale. Sunt...","Discover activities for kindergartens, designed for young children: workshops, visits, nature, educational farms, shows and sensory experiences...."
Activități pentru școli,Activities for schools,Subcategorie,Subcategory,Familie & copii,Family & kids,"Experiențe organizate pentru clase, excursii și grupuri de elevi.","Organized experiences for classes, school trips and student groups.","Alege activități pentru școli, cu programe educative, vizite ghidate, ateliere, muzee, tururi sau experiențe outdoor. Sunt potrivite pentru excursii, Școala Altfel, Săptămâna Verde și activități de învățare experiențială.","Choose activities for schools with educational programs, guided visits, workshops, museums, tours and outdoor experiences. Ideal for school trips, alternative school weeks, green week programs and experiential learning.",Activități pentru școli | Bilete și experiențe,Activities for schools | Tickets & experiences,"Alege activități pentru școli, cu programe educative, vizite ghidate, ateliere, muzee, tururi sau experiențe outdoor. Sunt potrivite pentru excursii,...","Choose activities for schools with educational programs, guided visits, workshops, museums, tours and outdoor experiences. Ideal for school trips,..."
Activități pentru adolescenți,Activities for teenagers,Subcategorie,Subcategory,Familie & copii,Family & kids,"Activități dinamice pentru adolescenți, grupuri de prieteni și clase.","Dynamic activities for teenagers, groups of friends and school classes.","Descoperă activități pentru adolescenți: escape rooms, parcuri de aventură, tururi, ateliere creative, experiențe STEM și activități de grup. Sunt potrivite pentru prieteni, școli, zile de naștere sau ieșiri active de weekend.","Discover activities for teenagers: escape rooms, adventure parks, tours, creative workshops, STEM experiences and group activities. Suitable for friends, schools, birthdays and active weekend outings.",Activități pentru adolescenți | Bilete și experiențe,Activities for teenagers | Tickets & experiences,"Descoperă activități pentru adolescenți: escape rooms, parcuri de aventură, tururi, ateliere creative, experiențe STEM și activități de grup. Sunt...","Discover activities for teenagers: escape rooms, adventure parks, tours, creative workshops, STEM experiences and group activities. Suitable for..."
Activități pentru zile de naștere,Birthday activities,Subcategorie,Subcategory,Familie & copii,Family & kids,"Idei de activități pentru aniversări memorabile, copii sau adulți.","Activity ideas for memorable birthdays, for children or adults.","Găsește activități pentru zile de naștere: ateliere, escape rooms, locuri de joacă, parcuri, experiențe creative, private events sau pachete pentru grupuri. Alege variante ușor de organizat pentru aniversări relaxate și memorabile.","Find birthday activities including workshops, escape rooms, playgrounds, parks, creative experiences, private events and group packages. Choose easy-to-organize options for relaxed and memorable celebrations.",Activități pentru zile de naștere | Bilete și experiențe,Birthday activities | Tickets & experiences,"Găsește activități pentru zile de naștere: ateliere, escape rooms, locuri de joacă, parcuri, experiențe creative, private events sau pachete pentru...","Find birthday activities including workshops, escape rooms, playgrounds, parks, creative experiences, private events and group packages. Choose easy-to-..."
Ateliere copii,Kids workshops,Subcategorie,Subcategory,Familie & copii,Family & kids,"Ateliere creative, educative și practice pentru copii.","Creative, educational and hands-on workshops for children.","Descoperă ateliere pentru copii cu pictură, ceramică, știință, craft, povești, natură sau activități tematice. Sunt potrivite pentru weekend, vacanțe, școli, grădinițe, aniversări și dezvoltarea creativității prin joacă.","Discover kids workshops with painting, pottery, science, craft, storytelling, nature and themed activities. Ideal for weekends, holidays, schools, kindergartens, birthdays and developing creativity through play.",Ateliere copii | Bilete și experiențe,Kids workshops | Tickets & experiences,"Descoperă ateliere pentru copii cu pictură, ceramică, știință, craft, povești, natură sau activități tematice. Sunt potrivite pentru weekend, vacanțe,...","Discover kids workshops with painting, pottery, science, craft, storytelling, nature and themed activities. Ideal for weekends, holidays, schools,..."
Muzee interactive copii,Interactive museums for kids,Subcategorie,Subcategory,Familie & copii,Family & kids,"Muzee unde copiii pot explora, testa și învăța prin joacă.","Museums where children can explore, test and learn through play.","Alege muzee interactive pentru copii, cu exponate practice, instalații, experimente și activități adaptate vârstei. Sunt experiențe ideale pentru familii, școli și grădinițe care vor învățare prin explorare activă.","Choose interactive museums for children with hands-on exhibits, installations, experiments and age-appropriate activities. Ideal for families, schools and kindergartens looking for active learning through exploration.",Muzee interactive copii | Bilete și experiențe,Interactive museums for kids | Tickets & experiences,"Alege muzee interactive pentru copii, cu exponate practice, instalații, experimente și activități adaptate vârstei. Sunt experiențe ideale pentru...","Choose interactive museums for children with hands-on exhibits, installations, experiments and age-appropriate activities. Ideal for families, schools..."
Muzee,Museums,Subcategorie,Subcategory,Muzee & expoziții,Museums & exhibitions,"Spații culturale și educative pentru artă, istorie, știință și patrimoniu.","Cultural and educational spaces for art, history, science and heritage.","Descoperă muzee pentru toate vârstele: artă, istorie, știință, natură, patrimoniu și experiențe interactive. Alege vizite culturale, educative sau de weekend pentru familie, turiști, școli și grupuri.","Discover museums for all ages: art, history, science, nature, heritage and interactive experiences. Choose cultural, educational or weekend visits for families, tourists, schools and groups.",Muzee | Bilete și experiențe,Museums | Tickets & experiences,"Descoperă muzee pentru toate vârstele: artă, istorie, știință, natură, patrimoniu și experiențe interactive. Alege vizite culturale, educative sau de...","Discover museums for all ages: art, history, science, nature, heritage and interactive experiences. Choose cultural, educational or weekend visits for..."
Galerii,Galleries,Subcategorie,Subcategory,Muzee & expoziții,Museums & exhibitions,"Galerii cu artă, expoziții curatoriate și artiști contemporani.","Galleries with art, curated exhibitions and contemporary artists.","Explorează galerii de artă cu expoziții contemporane, lucrări de artiști locali sau internaționali, instalații și evenimente curatoriate. Sunt potrivite pentru iubitori de artă, turiști, colecționari și public curios.","Explore art galleries with contemporary exhibitions, works by local or international artists, installations and curated events. Suitable for art lovers, tourists, collectors and curious visitors.",Galerii | Bilete și experiențe,Galleries | Tickets & experiences,"Explorează galerii de artă cu expoziții contemporane, lucrări de artiști locali sau internaționali, instalații și evenimente curatoriate. Sunt potrivite...","Explore art galleries with contemporary exhibitions, works by local or international artists, installations and curated events. Suitable for art lovers,..."
Expoziții,Exhibitions,Subcategorie,Subcategory,Muzee & expoziții,Museums & exhibitions,"Expoziții de artă, știință, istorie, fotografie sau design.","Exhibitions about art, science, history, photography or design.","Descoperă expoziții permanente și temporare, de la artă și fotografie la știință, design, istorie sau experiențe interactive. Alege evenimente culturale actuale, vizite de weekend și activități potrivite pentru toate vârstele.","Discover permanent and temporary exhibitions, from art and photography to science, design, history and interactive experiences. Choose current cultural events, weekend visits and activities for all ages.",Expoziții | Bilete și experiențe,Exhibitions | Tickets & experiences,"Descoperă expoziții permanente și temporare, de la artă și fotografie la știință, design, istorie sau experiențe interactive. Alege evenimente culturale...","Discover permanent and temporary exhibitions, from art and photography to science, design, history and interactive experiences. Choose current cultural..."
Tururi culturale,Cultural tours,Subcategorie,Subcategory,Cultură & artă,Culture & art,"Tururi ghidate despre artă, patrimoniu, tradiții și povești locale.","Guided tours about art, heritage, traditions and local stories.","Alege tururi culturale pentru a descoperi orașe, cartiere, monumente, muzee, galerii, tradiții și povești locale. Sunt potrivite pentru turiști, localnici, școli și grupuri care vor experiențe culturale ghidate.","Choose cultural tours to discover cities, neighborhoods, monuments, museums, galleries, traditions and local stories. Suitable for tourists, locals, schools and groups looking for guided cultural experiences.",Tururi culturale | Bilete și experiențe,Cultural tours | Tickets & experiences,"Alege tururi culturale pentru a descoperi orașe, cartiere, monumente, muzee, galerii, tradiții și povești locale. Sunt potrivite pentru turiști,...","Choose cultural tours to discover cities, neighborhoods, monuments, museums, galleries, traditions and local stories. Suitable for tourists, locals,..."
Ateliere artistice,Art workshops,Subcategorie,Subcategory,Cultură & artă,Culture & art,"Ateliere de creație pentru pictură, ceramică, craft și expresie artistică.","Creative workshops for painting, pottery, craft and artistic expression.","Descoperă ateliere artistice pentru copii, adulți sau grupuri: pictură, ceramică, desen, colaj, design floral, craft și alte experiențe creative. Sunt ideale pentru relaxare, învățare și timp de calitate.","Discover art workshops for children, adults or groups: painting, pottery, drawing, collage, floral design, craft and other creative experiences. Ideal for relaxation, learning and quality time.",Ateliere artistice | Bilete și experiențe,Art workshops | Tickets & experiences,"Descoperă ateliere artistice pentru copii, adulți sau grupuri: pictură, ceramică, desen, colaj, design floral, craft și alte experiențe creative. Sunt...","Discover art workshops for children, adults or groups: painting, pottery, drawing, collage, floral design, craft and other creative experiences. Ideal..."
Experiențe imersive,Immersive experiences,Subcategorie,Subcategory,Cultură & artă,Culture & art,"Experiențe multisenzoriale cu lumină, sunet, proiecții și interacțiune.","Multisensory experiences with light, sound, projections and interaction.","Alege experiențe imersive cu proiecții, sunet, lumină, instalații digitale și decoruri interactive. Sunt potrivite pentru cupluri, prieteni, familii și vizitatori care caută activități moderne, spectaculoase și memorabile.","Choose immersive experiences with projections, sound, light, digital installations and interactive environments. Suitable for couples, friends, families and visitors looking for modern, spectacular and memorable activities.",Experiențe imersive | Bilete și experiențe,Immersive experiences | Tickets & experiences,"Alege experiențe imersive cu proiecții, sunet, lumină, instalații digitale și decoruri interactive. Sunt potrivite pentru cupluri, prieteni, familii și...","Choose immersive experiences with projections, sound, light, digital installations and interactive environments. Suitable for couples, friends, families..."
Evenimente culturale cu bilete,Ticketed cultural events,Subcategorie,Subcategory,Cultură & artă,Culture & art,"Evenimente culturale accesibile prin bilet: spectacole, expoziții și seri speciale.","Ticketed cultural events: shows, exhibitions and special evenings.","Descoperă evenimente culturale cu bilete: teatru, concerte, expoziții, proiecții, seri tematice, festivaluri și activități artistice. Alege experiențe culturale pentru familie, cupluri, prieteni sau grupuri.","Discover ticketed cultural events: theatre, concerts, exhibitions, screenings, themed evenings, festivals and artistic activities. Choose cultural experiences for families, couples, friends or groups.",Evenimente culturale cu bilete | Bilete și experiențe,Ticketed cultural events | Tickets & experiences,"Descoperă evenimente culturale cu bilete: teatru, concerte, expoziții, proiecții, seri tematice, festivaluri și activități artistice. Alege experiențe...","Discover ticketed cultural events: theatre, concerts, exhibitions, screenings, themed evenings, festivals and artistic activities. Choose cultural..."
Activități de patrimoniu,Heritage activities,Subcategorie,Subcategory,Cultură & artă,Culture & art,"Experiențe care valorifică istoria, arhitectura, tradițiile și patrimoniul local.","Experiences around history, architecture, traditions and local heritage.","Explorează activități de patrimoniu prin tururi, vizite ghidate, muzee, situri istorice, case memoriale, monumente și experiențe culturale locale. Sunt potrivite pentru turiști, școli, familii și pasionați de istorie.","Explore heritage activities through tours, guided visits, museums, historical sites, memorial houses, monuments and local cultural experiences. Suitable for tourists, schools, families and history enthusiasts.",Activități de patrimoniu | Bilete și experiențe,Heritage activities | Tickets & experiences,"Explorează activități de patrimoniu prin tururi, vizite ghidate, muzee, situri istorice, case memoriale, monumente și experiențe culturale locale. Sunt...","Explore heritage activities through tours, guided visits, museums, historical sites, memorial houses, monuments and local cultural experiences. Suitable..."