id,slug,name,gyg_id,gyg_slug,bucket,reason
789,bucuresti,"București",111,bucuresti,auto,high confidence (bucuresti)
790,voluntari,"Voluntari",,,not_found,no GYG city page found
791,popesti-leordeni,"Popești-Leordeni",,,not_found,no GYG city page found
792,bragadiru,"Bragadiru",,,not_found,no GYG city page found
793,buftea,"Buftea",,,not_found,no GYG city page found
794,pantelimon,"Pantelimon",185106,judetul-ilfov,auto,low -> county page (judetul-ilfov)
795,otopeni,"Otopeni",185106,judetul-ilfov,auto,low -> county page (judetul-ilfov)
796,chitila,"Chitila",,,not_found,no GYG city page found
797,magurele,"Măgurele",,,not_found,no GYG city page found
798,cluj-napoca,"Cluj-Napoca",2393,cluj-napoca,auto,high confidence (cluj-napoca)
799,turda,"Turda",144427,judetul-cluj,auto,low -> county page (judetul-cluj)
800,dej,"Dej",144427,judetul-cluj,auto,low -> county page (judetul-cluj)
801,campia-turzii,"Câmpia Turzii",,,not_found,no GYG city page found
802,gherla,"Gherla",144427,judetul-cluj,auto,low -> county page (judetul-cluj)
803,huedin,"Huedin",,,not_found,no GYG city page found
804,floresti,"Florești",,,not_found,no GYG city page found
805,baciu,"Baciu",,,not_found,no GYG city page found
806,timisoara,"Timișoara",169162,romania,country,romania-wide page (romania-l169162)
807,lugoj,"Lugoj",,,not_found,no GYG city page found
808,sannicolau-mare,"Sânnicolau Mare",,,not_found,no GYG city page found
809,jimbolia,"Jimbolia",,,not_found,no GYG city page found
810,faget,"Făget",,,not_found,no GYG city page found
811,buzias,"Buziaș",,,not_found,no GYG city page found
812,deta,"Deta",,,not_found,no GYG city page found
813,recas,"Recaș",,,not_found,no GYG city page found
814,giroc,"Giroc",,,not_found,no GYG city page found
815,dumbravita,"Dumbrăvița",,,not_found,no GYG city page found
816,constanta,"Constanța",2660,judetul-constanta,auto,high confidence (judetul-constanta)
817,mangalia,"Mangalia",,,not_found,no GYG city page found
818,medgidia,"Medgidia",,,not_found,no GYG city page found
819,navodari,"Năvodari",,,not_found,no GYG city page found
820,cernavoda,"Cernavodă",,,not_found,no GYG city page found
821,mamaia,"Mamaia",2660,judetul-constanta,auto,low -> county page (judetul-constanta)
822,eforie-nord,"Eforie Nord",2660,judetul-constanta,auto,low -> county page (judetul-constanta)
823,eforie-sud,"Eforie Sud",,,not_found,no GYG city page found
824,neptun,"Neptun",,,not_found,no GYG city page found
825,costinesti,"Costinești",,,not_found,no GYG city page found
826,vama-veche,"Vama Veche",,,not_found,no GYG city page found
827,brasov,"Brașov",2003,brasov,auto,high confidence (brasov)
828,fagaras,"Făgăraș",182616,judetul-brasov,auto,low -> county page (judetul-brasov)
829,sacele,"Săcele",,,not_found,no GYG city page found
830,codlea,"Codlea",,,not_found,no GYG city page found
831,rasnov,"Râșnov",2004,rasnov,auto,high confidence (rasnov)
832,zarnesti,"Zărnești",182616,judetul-brasov,auto,low -> county page (judetul-brasov)
833,predeal,"Predeal",182616,judetul-brasov,auto,low -> county page (judetul-brasov)
834,poiana-brasov,"Poiana Brașov",182616,judetul-brasov,auto,low -> county page (judetul-brasov)
835,bran,"Bran",188057,tarate,wrong,low + non-county slug (tarate)
836,iasi,"Iași",169162,romania,country,romania-wide page (romania-l169162)
837,pascani,"Pașcani",,,not_found,no GYG city page found
838,targu-frumos,"Târgu Frumos",314,frumos,review,high but suspect slug (frumos)
839,harlau,"Hârlău",,,not_found,no GYG city page found
840,ploiesti,"Ploiești",,,not_found,no GYG city page found
841,campina,"Câmpina",186732,judetul-prahova,auto,low -> county page (judetul-prahova)
842,baicoi,"Băicoi",,,not_found,no GYG city page found
843,breaza,"Breaza",,,not_found,no GYG city page found
844,sinaia,"Sinaia",124688,sinaia,auto,high confidence (sinaia)
845,busteni,"Bușteni",234246,busteni,auto,high confidence (busteni)
846,azuga,"Azuga",186732,judetul-prahova,auto,low -> county page (judetul-prahova)
847,comarnic,"Comarnic",,,not_found,no GYG city page found
848,valenii-de-munte,"Vălenii de Munte",121525,theth,wrong,low + non-county slug (theth)
849,sibiu,"Sibiu",1833,sibiu,auto,high confidence (sibiu)
850,medias,"Mediaș",144426,judetul-sibiu,auto,low -> county page (judetul-sibiu)
851,cisnadie,"Cisnădie",144426,judetul-sibiu,auto,low -> county page (judetul-sibiu)
852,avrig,"Avrig",144426,judetul-sibiu,auto,low -> county page (judetul-sibiu)
853,dumbraveni,"Dumbrăveni",,,not_found,no GYG city page found
854,talmaciu,"Tălmaciu",,,not_found,no GYG city page found
855,paltinis,"Păltiniș",144426,judetul-sibiu,auto,low -> county page (judetul-sibiu)
856,targu-mures,"Târgu Mureș",144429,judetul-mures,auto,low -> county page (judetul-mures)
857,reghin,"Reghin",,,not_found,no GYG city page found
858,sighisoara,"Sighișoara",2012,sighisoara,auto,high confidence (sighisoara)
859,tarnaveni,"Târnăveni",144429,judetul-mures,auto,low -> county page (judetul-mures)
860,ludus,"Luduș",,,not_found,no GYG city page found
861,sovata,"Sovata",,,not_found,no GYG city page found
862,craiova,"Craiova",169162,romania,country,romania-wide page (romania-l169162)
863,bailesti,"Băilești",,,not_found,no GYG city page found
864,calafat,"Calafat",,,not_found,no GYG city page found
865,filiasi,"Filiași",,,not_found,no GYG city page found
866,segarcea,"Segarcea",,,not_found,no GYG city page found
867,galati,"Galați",169162,romania,country,romania-wide page (romania-l169162)
868,tecuci,"Tecuci",169162,romania,country,romania-wide page (romania-l169162)
869,targu-bujor,"Târgu Bujor",,,not_found,no GYG city page found
870,beresti,"Berești",,,not_found,no GYG city page found
871,pitesti,"Pitești",201945,arges,auto,low -> county page (arges)
872,campulung,"Câmpulung",201945,arges,auto,low -> county page (arges)
873,curtea-de-arges,"Curtea de Argeș",201945,arges,auto,high confidence (arges)
874,mioveni,"Mioveni",,,not_found,no GYG city page found
875,costesti,"Costești",169162,romania,country,romania-wide page (romania-l169162)
876,topoloveni,"Topoloveni",,,not_found,no GYG city page found
877,arad,"Arad",169162,romania,country,romania-wide page (romania-l169162)
878,ineu,"Ineu",,,not_found,no GYG city page found
879,lipova,"Lipova",,,not_found,no GYG city page found
880,pecica,"Pecica",,,not_found,no GYG city page found
881,curtici,"Curtici",,,not_found,no GYG city page found
882,nadlac,"Nădlac",,,not_found,no GYG city page found
883,chisineu-cris,"Chișineu-Criș",,,not_found,no GYG city page found
884,oradea,"Oradea",169162,romania,country,romania-wide page (romania-l169162)
885,salonta,"Salonta",,,not_found,no GYG city page found
886,marghita,"Marghita",,,not_found,no GYG city page found
887,beius,"Beiuș",,,not_found,no GYG city page found
888,alesd,"Aleșd",,,not_found,no GYG city page found
889,stei,"Ștei",,,not_found,no GYG city page found
890,baile-felix,"Băile Felix",169162,romania,country,romania-wide page (romania-l169162)
891,baile-1-mai,"Băile 1 Mai",,,not_found,no GYG city page found
892,bacau,"Bacău",169162,romania,country,romania-wide page (romania-l169162)
893,onesti,"Onești",,,not_found,no GYG city page found
894,moinesti,"Moinești",,,not_found,no GYG city page found
895,comanesti,"Comănești",,,not_found,no GYG city page found
896,buhusi,"Buhuși",,,not_found,no GYG city page found
897,darmanesti,"Dărmănești",,,not_found,no GYG city page found
898,targu-ocna,"Târgu Ocna",,,not_found,no GYG city page found
899,slanic-moldova,"Slănic Moldova",91935,slanic,review,high but suspect slug (slanic)
900,deva,"Deva",2510,judetul-alba,auto,low -> county page (judetul-alba)
901,hunedoara,"Hunedoara",2510,judetul-alba,auto,low -> county page (judetul-alba)
902,petrosani,"Petroșani",,,not_found,no GYG city page found
903,lupeni,"Lupeni",,,not_found,no GYG city page found
904,vulcan,"Vulcan",3446,insulele-eoliene,wrong,low + non-county slug (insulele-eoliene)
905,orastie,"Orăștie",,,not_found,no GYG city page found
906,brad,"Brad",,,not_found,no GYG city page found
907,calan,"Călan",,,not_found,no GYG city page found
908,sarmizegetusa,"Sarmizegetusa",169162,romania,country,romania-wide page (romania-l169162)
909,suceava,"Suceava",257948,judetul-suceava,auto,high confidence (judetul-suceava)
910,falticeni,"Fălticeni",,,not_found,no GYG city page found
911,radauti,"Rădăuți",,,not_found,no GYG city page found
912,campulung-moldovenesc,"Câmpulung Moldovenesc",201945,arges,auto,low -> county page (arges)
913,vatra-dornei,"Vatra Dornei",,,not_found,no GYG city page found
914,gura-humorului,"Gura Humorului",257948,judetul-suceava,auto,low -> county page (judetul-suceava)
915,siret,"Siret",,,not_found,no GYG city page found
916,alba-iulia,"Alba Iulia",2510,judetul-alba,auto,low -> county page (judetul-alba)
917,aiud,"Aiud",2510,judetul-alba,auto,low -> county page (judetul-alba)
918,blaj,"Blaj",2510,judetul-alba,auto,low -> county page (judetul-alba)
919,sebes,"Sebeș",2510,judetul-alba,auto,low -> county page (judetul-alba)
920,cugir,"Cugir",2510,judetul-alba,auto,low -> county page (judetul-alba)
921,ocna-mures,"Ocna Mureș",144429,judetul-mures,auto,low -> county page (judetul-mures)
922,campeni,"Câmpeni",,,not_found,no GYG city page found
923,buzau,"Buzău",169162,romania,country,romania-wide page (romania-l169162)
924,ramnicu-sarat,"Râmnicu Sărat",,,not_found,no GYG city page found
925,nehoiu,"Nehoiu",169162,romania,country,romania-wide page (romania-l169162)
926,patarlagele,"Pătârlagele",,,not_found,no GYG city page found
927,pogoanele,"Pogoanele",,,not_found,no GYG city page found
928,botosani,"Botoșani",,,not_found,no GYG city page found
929,dorohoi,"Dorohoi",,,not_found,no GYG city page found
930,darabani,"Darabani",,,not_found,no GYG city page found
931,saveni,"Săveni",,,not_found,no GYG city page found
932,bistrita,"Bistrița",169162,romania,country,romania-wide page (romania-l169162)
933,nasaud,"Năsăud",,,not_found,no GYG city page found
934,beclean,"Beclean",,,not_found,no GYG city page found
935,sangeorz-bai,"Sângeorz-Băi",,,not_found,no GYG city page found
936,braila,"Brăila",169162,romania,country,romania-wide page (romania-l169162)
937,ianca,"Ianca",,,not_found,no GYG city page found
938,insuratei,"Însurăței",,,not_found,no GYG city page found
939,faurei,"Făurei",,,not_found,no GYG city page found
940,resita,"Reșița",169162,romania,country,romania-wide page (romania-l169162)
941,caransebes,"Caransebeș",,,not_found,no GYG city page found
942,bocsa,"Bocșa",,,not_found,no GYG city page found
943,oravita,"Oravița",169162,romania,country,romania-wide page (romania-l169162)
944,moldova-noua,"Moldova Nouă",169139,moldova,auto,high confidence (moldova)
945,anina,"Anina",,,not_found,no GYG city page found
946,baile-herculane,"Băile Herculane",169162,romania,country,romania-wide page (romania-l169162)
947,calarasi,"Călărași",169162,romania,country,romania-wide page (romania-l169162)
948,oltenita,"Oltenița",,,not_found,no GYG city page found
949,budesti,"Budești",169162,romania,country,romania-wide page (romania-l169162)
950,fundulea,"Fundulea",,,not_found,no GYG city page found
951,lehliu-gara,"Lehliu Gară",,,not_found,no GYG city page found
952,sfantu-gheorghe,"Sfântu Gheorghe",169162,romania,country,romania-wide page (romania-l169162)
953,targu-secuiesc,"Târgu Secuiesc",,,not_found,no GYG city page found
954,covasna,"Covasna",169162,romania,country,romania-wide page (romania-l169162)
955,baraolt,"Baraolt",,,not_found,no GYG city page found
956,intorsura-buzaului,"Întorsura Buzăului",,,not_found,no GYG city page found
957,targoviste,"Târgoviște",185430,judetul-dambovita,auto,low -> county page (judetul-dambovita)
958,moreni,"Moreni",,,not_found,no GYG city page found
959,pucioasa,"Pucioasa",,,not_found,no GYG city page found
960,gaesti,"Găești",,,not_found,no GYG city page found
961,titu,"Titu",,,not_found,no GYG city page found
962,fieni,"Fieni",,,not_found,no GYG city page found
963,targu-jiu,"Târgu Jiu",,,not_found,no GYG city page found
964,motru,"Motru",,,not_found,no GYG city page found
965,rovinari,"Rovinari",,,not_found,no GYG city page found
966,bumbesti-jiu,"Bumbești-Jiu",,,not_found,no GYG city page found
967,targu-carbunesti,"Târgu Cărbunești",,,not_found,no GYG city page found
968,novaci,"Novaci",,,not_found,no GYG city page found
969,ranca,"Rânca",,,not_found,no GYG city page found
970,giurgiu,"Giurgiu",169162,romania,country,romania-wide page (romania-l169162)
971,bolintin-vale,"Bolintin-Vale",,,not_found,no GYG city page found
972,mihailesti,"Mihăilești",,,not_found,no GYG city page found
973,miercurea-ciuc,"Miercurea Ciuc",,,not_found,no GYG city page found
974,odorheiu-secuiesc,"Odorheiu Secuiesc",169162,romania,country,romania-wide page (romania-l169162)
975,gheorgheni,"Gheorgheni",169162,romania,country,romania-wide page (romania-l169162)
976,toplita,"Toplița",,,not_found,no GYG city page found
977,cristuru-secuiesc,"Cristuru Secuiesc",,,not_found,no GYG city page found
978,balan,"Bălan",,,not_found,no GYG city page found
979,borsec,"Borsec",,,not_found,no GYG city page found
980,praid,"Praid",,,not_found,no GYG city page found
981,lacul-rosu,"Lacul Roșu",169162,romania,country,romania-wide page (romania-l169162)
982,slobozia,"Slobozia",169162,romania,country,romania-wide page (romania-l169162)
983,fetesti,"Fetești",,,not_found,no GYG city page found
984,urziceni,"Urziceni",,,not_found,no GYG city page found
985,tandarei,"Țăndărei",,,not_found,no GYG city page found
986,amara,"Amara",,,not_found,no GYG city page found
987,baia-mare,"Baia Mare",169162,romania,country,romania-wide page (romania-l169162)
988,sighetu-marmatiei,"Sighetu Marmației",169162,romania,country,romania-wide page (romania-l169162)
989,borsa,"Borșa",,,not_found,no GYG city page found
990,baia-sprie,"Baia Sprie",599,campania,wrong,low + non-county slug (campania)
991,cavnic,"Cavnic",,,not_found,no GYG city page found
992,viseu-de-sus,"Vișeu de Sus",169162,romania,country,romania-wide page (romania-l169162)
993,seini,"Seini",,,not_found,no GYG city page found
994,tautii-magheraus,"Tăuții-Măgherăuș",,,not_found,no GYG city page found
995,sapanta,"Săpânța",169162,romania,country,romania-wide page (romania-l169162)
996,drobeta-turnu-severin,"Drobeta-Turnu Severin",169162,romania,country,romania-wide page (romania-l169162)
997,orsova,"Orșova",169162,romania,country,romania-wide page (romania-l169162)
998,strehaia,"Strehaia",,,not_found,no GYG city page found
999,vanju-mare,"Vânju Mare",169035,coreea-de-sud,wrong,low + non-county slug (coreea-de-sud)
1000,baia-de-arama,"Baia de Aramă",121525,theth,wrong,low + non-county slug (theth)
1001,piatra-neamt,"Piatra Neamț",169162,romania,country,romania-wide page (romania-l169162)
1002,roman,"Roman",,,not_found,no GYG city page found
1003,targu-neamt,"Târgu Neamț",,,not_found,no GYG city page found
1004,bicaz,"Bicaz",,,not_found,no GYG city page found
1005,roznov,"Roznov",,,not_found,no GYG city page found
1006,durau,"Durău",,,not_found,no GYG city page found
1007,slatina,"Slatina",,,not_found,no GYG city page found
1008,caracal,"Caracal",,,not_found,no GYG city page found
1009,corabia,"Corabia",,,not_found,no GYG city page found
1010,bals,"Balș",,,not_found,no GYG city page found
1011,scornicesti,"Scornicești",,,not_found,no GYG city page found
1012,draganesti-olt,"Drăgănești-Olt",,,not_found,no GYG city page found
1013,satu-mare,"Satu Mare",169162,romania,country,romania-wide page (romania-l169162)
1014,carei,"Carei",,,not_found,no GYG city page found
1015,negresti-oas,"Negrești-Oaș",,,not_found,no GYG city page found
1016,tasnad,"Tășnad",,,not_found,no GYG city page found
1017,livada,"Livada",,,not_found,no GYG city page found
1018,ardud,"Ardud",,,not_found,no GYG city page found
1019,zalau,"Zalău",,,not_found,no GYG city page found
1020,simleu-silvaniei,"Șimleu Silvaniei",169162,romania,country,romania-wide page (romania-l169162)
1021,jibou,"Jibou",,,not_found,no GYG city page found
1022,cehu-silvaniei,"Cehu Silvaniei",,,not_found,no GYG city page found
1023,alexandria,"Alexandria",490,alexandria,auto,high confidence (alexandria)
1024,rosiori-de-vede,"Roșiori de Vede",121525,theth,wrong,low + non-county slug (theth)
1025,turnu-magurele,"Turnu Măgurele",,,not_found,no GYG city page found
1026,zimnicea,"Zimnicea",,,not_found,no GYG city page found
1027,videle,"Videle",,,not_found,no GYG city page found
1028,tulcea,"Tulcea",2659,tulcea,auto,high confidence (tulcea)
1029,macin,"Măcin",,,not_found,no GYG city page found
1030,babadag,"Babadag",,,not_found,no GYG city page found
1031,isaccea,"Isaccea",,,not_found,no GYG city page found
1032,sulina,"Sulina",2658,judetul-tulcea,auto,low -> county page (judetul-tulcea)
1033,murighiol,"Murighiol",2658,judetul-tulcea,auto,low -> county page (judetul-tulcea)
1034,ramnicu-valcea,"Râmnicu Vâlcea",169162,romania,country,romania-wide page (romania-l169162)
1035,dragasani,"Drăgășani",,,not_found,no GYG city page found
1036,baile-govora,"Băile Govora",,,not_found,no GYG city page found
1037,baile-olanesti,"Băile Olănești",,,not_found,no GYG city page found
1038,calimanesti,"Călimănești",,,not_found,no GYG city page found
1039,horezu,"Horezu",169162,romania,country,romania-wide page (romania-l169162)
1040,brezoi,"Brezoi",,,not_found,no GYG city page found
1041,berbesti,"Berbești",,,not_found,no GYG city page found
1042,voineasa,"Voineasa",,,not_found,no GYG city page found
1043,vaslui,"Vaslui",169162,romania,country,romania-wide page (romania-l169162)
1044,barlad,"Bârlad",,,not_found,no GYG city page found
1045,husi,"Huși",,,not_found,no GYG city page found
1046,negresti,"Negrești",,,not_found,no GYG city page found
1047,murgeni,"Murgeni",,,not_found,no GYG city page found
1048,focsani,"Focșani",,,not_found,no GYG city page found
1049,adjud,"Adjud",,,not_found,no GYG city page found
1050,marasesti,"Mărășești",,,not_found,no GYG city page found
1051,panciu,"Panciu",,,not_found,no GYG city page found
1052,odobesti,"Odobești",,,not_found,no GYG city page found
